ProductID,CompetitorName,CompetitorPrice,Date
1051,ShopEase,11.41,2025-04-29
1092,RetailCo,48.11,2025-04-28
1014,ShopEase,45.54,2025-04-27
1071,ShopEase,36.41,2025-04-26
1060,ShopEase,11.27,2025-04-25
1020,RetailCo,27.9,2025-04-24
1082,ShopEase,74.02,2025-04-23
1086,RetailCo,81.12,2025-04-22
1074,ShopEase,64.54,2025-04-21
1074,MartWorld,93.37,2025-04-20
1087,MartWorld,68.6,2025-04-19
1099,RetailCo,92.35,2025-04-18
1023,MartWorld,86.5,2025-04-17
1002,MartWorld,50.45,2025-04-16
1021,ShopEase,18.59,2025-04-15
1052,RetailCo,43.37,2025-04-14
1001,ShopEase,70.2,2025-04-13
1087,ShopEase,69.93,2025-04-12
1029,ShopEase,63.22,2025-04-11
1037,ShopEase,34.72,2025-04-10
1001,ShopEase,60.51,2025-04-09
1063,ShopEase,44.46,2025-04-08
1059,ShopEase,97.45,2025-04-07
1020,RetailCo,86.4,2025-04-06
1032,MartWorld,74.96,2025-04-05
1075,ShopEase,31.24,2025-04-04
1057,ShopEase,33.05,2025-04-03
1021,ShopEase,13.64,2025-04-02
1088,ShopEase,73.96,2025-04-01
1048,ShopEase,19.98,2025-03-31
1090,ShopEase,49.54,2025-03-30
1058,MartWorld,28.15,2025-03-29
1041,MartWorld,90.62,2025-03-28
1091,ShopEase,52.78,2025-03-27
1059,MartWorld,60.69,2025-03-26
1079,RetailCo,72.6,2025-03-25
1014,ShopEase,22.54,2025-03-24
1061,RetailCo,64.4,2025-03-23
1061,RetailCo,58.59,2025-03-22
1046,ShopEase,28.28,2025-03-21
1061,MartWorld,94.86,2025-03-20
1050,RetailCo,63.9,2025-03-19
1054,ShopEase,72.53,2025-03-18
1063,RetailCo,89.24,2025-03-17
1002,RetailCo,66.19,2025-03-16
1050,RetailCo,36.61,2025-03-15
1006,RetailCo,19.49,2025-03-14
1020,MartWorld,51.09,2025-03-13
1072,RetailCo,29.66,2025-03-12
1038,RetailCo,47.49,2025-03-11
